,article_name,article_quality,country,population,revision_id
167,"List of candidates in the Zimbabwean parliamentary election, 2013",B,Zimbabwe,14,735498335
168,Jevan Maseko,Stub,Zimbabwe,14,736911246
169,Munacho Mutezo,Stub,Zimbabwe,14,738729779
170,Sesel Zvidzai,Stub,Zimbabwe,14,738810400
171,Samuel Sipepa Nkomo,Stub,Zimbabwe,14,738992625
172,Faber Chidarikire,Start,Zimbabwe,14,738992871
173,Willard Chiwewe,Stub,Zimbabwe,14,738992910
174,Martin Dinha,Stub,Zimbabwe,14,738992918
175,Herbert Ushewokunze,Stub,Zimbabwe,14,739137894
176,Nyasha Chikwinya,Start,Zimbabwe,14,742899761
177,Naomi Nhiwatiwa,Start,Zimbabwe,14,743971092
178,Bright Matonga,Stub,Zimbabwe,14,744753863
179,Thokozani Khuphe,Start,Zimbabwe,14,747274193
180,Border Gezi,Start,Zimbabwe,14,748061603
181,Rugare Gumbo,Start,Zimbabwe,14,749496266
182,George Nyandoro,Start,Zimbabwe,14,750224976
183,Paul Chimedza,Stub,Zimbabwe,14,750428952
184,Gorden Moyo,Stub,Zimbabwe,14,750974704
185,Daniel Shumba,Start,Zimbabwe,14,753294248
186,Douglas Mombeshora,Stub,Zimbabwe,14,755110125
187,Munyaradzi Gwisai,Start,Zimbabwe,14,755337199
188,Olivia Muchena,Start,Zimbabwe,14,757616307
189,Paurine Mpariwa,Stub,Zimbabwe,14,757616437
190,Sithembiso Nyoni,Stub,Zimbabwe,14,757617613
191,Earnest Mudzengi,Stub,Zimbabwe,14,757796569
192,Gift Banda,Stub,Zimbabwe,14,758442662
193,Wilson Kumbula,Stub,Zimbabwe,14,759330558
194,Paurina Mpariwa,Stub,Zimbabwe,14,760532029
195,Flora Buka,Stub,Zimbabwe,14,762630896
196,Elliot Manyika,Start,Zimbabwe,14,763330074
197,Diana Mitchell,Start,Zimbabwe,14,764299725
198,Maurice Nyagumbo,Start,Zimbabwe,14,764826793
199,Josiah Zion Gumede,Start,Zimbabwe,14,765095810
200,Edson Zvobgo,Start,Zimbabwe,14,767922311
201,Felix Magalela Mafa Sibanda,C,Zimbabwe,14,769519957
202,Tracy Mutinhiri,Stub,Zimbabwe,14,769876632
203,Kayisa Ndiweni,Stub,Zimbabwe,14,771958995
204,Enoch Dumbutshena,Stub,Zimbabwe,14,774026217
205,Hubert Nyanhongo,Stub,Zimbabwe,14,774061307
206,James Chikerema,C,Zimbabwe,14,775935799
207,Victoria Chitepo,Start,Zimbabwe,14,776389556
208,Joel Gabuza,Stub,Zimbabwe,14,776840034
209,Trudy Stevenson,Start,Zimbabwe,14,776943338
210,Joram Gumbo,Stub,Zimbabwe,14,777424335
211,Joseph Chinotimba,C,Zimbabwe,14,777482252
212,Nkululeko Sibanda,Start,Zimbabwe,14,777623864
213,Janet Banana,Stub,Zimbabwe,14,777849777
214,Lazarus Dokora,Stub,Zimbabwe,14,780062778
215,Lutho Tapela,Stub,Zimbabwe,14,782607746
216,Moven Mahachi,Stub,Zimbabwe,14,783298283
217,Margaret Dongo,Start,Zimbabwe,14,783419906
218,Sekai Holland,C,Zimbabwe,14,783637102
219,George Chiweshe,Start,Zimbabwe,14,783919896
220,Josiah Mushore Chinamano,Stub,Zimbabwe,14,784396785
221,Michael Bimha,Stub,Zimbabwe,14,784668448
222,Josiah Tongogara,C,Zimbabwe,14,786913202
223,Naison Ndlovu,Stub,Zimbabwe,14,787854175
224,Enos Mdlongwa,Stub,Zimbabwe,14,787854640
225,Lindiwe Majele Sibanda,Start,Zimbabwe,14,788247480
226,Ndabaningi Sithole,C,Zimbabwe,14,788291899
227,Ambrose Mutinhiri,Stub,Zimbabwe,14,788777043
228,Judith Todd,Start,Zimbabwe,14,788792548
229,Andrew Langa,Stub,Zimbabwe,14,789094827
230,Christopher Kuruneri,Start,Zimbabwe,14,789427326
231,Priscilla Misihairabwi-Mushonga,Stub,Zimbabwe,14,789545114
232,Swithun Mombeshora,Stub,Zimbabwe,14,789545179
233,Oppah Muchinguri,Stub,Zimbabwe,14,789545185
234,Samuel Mumbengegwi,Start,Zimbabwe,14,789545206
235,Chris Mushohwe,Stub,Zimbabwe,14,789545212
236,Giles Mutsekwa,Start,Zimbabwe,14,789545214
237,Francis Nhema,Stub,Zimbabwe,14,789545220
238,Mike Nyambuya,Stub,Zimbabwe,14,789545233
239,Solomon Mujuru,C,Zimbabwe,14,789898624
240,Ronald Penza,Stub,Zimbabwe,14,789948565
241,Joseph Made,Start,Zimbabwe,14,789965571
242,Evelyn Masaiti,Stub,Zimbabwe,14,790034879
243,Jessie Majome,Start,Zimbabwe,14,790035057
244,Theresa Makoni,Stub,Zimbabwe,14,790423262
245,List of Presidents of the Senate of Zimbabwe,Stub,Zimbabwe,14,791068367
246,Blessing Chebundo,Start,Zimbabwe,14,791690130
247,George Charamba,Start,Zimbabwe,14,793738070
248,Chenhanho Chimutengwende,Stub,Zimbabwe,14,793820850
249,Simon Muzenda,Start,Zimbabwe,14,794934380
250,Witness Mangwende,Stub,Zimbabwe,14,794934451
251,Nathan Shamuyarira,C,Zimbabwe,14,794934469
252,Joseph Makamba Busha,Start,Zimbabwe,14,795007156
253,Walter Chidakwa,Stub,Zimbabwe,14,795247525
254,Maxwell Zeb Shumba,Start,Zimbabwe,14,795637625
255,Henry Madzorera,Stub,Zimbabwe,14,795846349
256,First Lady of Zimbabwe,Stub,Zimbabwe,14,796477244
257,Charles Shanyurai Majange,Stub,Zimbabwe,14,796608492
258,Elleck Mashingaidze,Stub,Zimbabwe,14,796726442
259,Phillip Chiyangwa,Start,Zimbabwe,14,797170378
260,Chenjerai Hunzvi,C,Zimbabwe,14,797225827
261,Edward Chindori-Chininga,Start,Zimbabwe,14,797414978
262,Arthur Mutambara,C,Zimbabwe,14,797932659
263,Edgar Tekere,C,Zimbabwe,14,798106157
264,Psychology Maziwisa,C,Zimbabwe,14,798140615
265,Isaac Matongo,Stub,Zimbabwe,14,798248963
266,Julia Tukai Zvobgo,Start,Zimbabwe,14,798468363
267,Jameson Timba,Stub,Zimbabwe,14,799326094
268,Ben Ncube,Stub,Zimbabwe,14,799405378
269,Obedingwa Mguni,Stub,Zimbabwe,14,799406056
270,Denis Norman,Start,Zimbabwe,14,799605293
271,Japhet Ndabeni Ncube,Stub,Zimbabwe,14,800407734
272,Nicholas Mabodoko,Stub,Zimbabwe,14,800407872
273,Fay Chung,B,Zimbabwe,14,800705666
274,Alfred Makwarimba,Stub,Zimbabwe,14,801370822
275,Elphas Mukonoweshuro,Stub,Zimbabwe,14,801488585
276,Elton Mangoma,Start,Zimbabwe,14,801497420
277,Edna Madzongwe,Start,Zimbabwe,14,802259324
278,Fidelis Mhashu,Stub,Zimbabwe,14,803084855
279,Promise Mkwananzi,Start,Zimbabwe,14,803579259
280,Saviour Kasukuwere,Start,Zimbabwe,14,804677245
281,Walter Mzembi,Stub,Zimbabwe,14,804678140
282,Kembo Mohadi,Start,Zimbabwe,14,804811059
283,Learnmore Jongwe,Start,Zimbabwe,14,804844902
284,Lovemore Madhuku,C,Zimbabwe,14,804895632
285,List of Finance Ministers of Zimbabwe,Stub,Zimbabwe,14,804914333
286,Joice Mujuru,C,Zimbabwe,14,805993308
287,Ignatious Chombo,Start,Zimbabwe,14,806656210
288,Robert Mugabe,FA,Zimbabwe,14,806814411
289,Tichafa Samuel Parirenyatwa,C,Zimbabwe,14,807159774
290,Guy Georgias,C,Zimbabwe,14,807196681
291,Grace Mugabe,GA,Zimbabwe,14,807337237
292,Guy Clutton-Brock,Start,Zimbabwe,14,807442408
293,Template:Uganda-politician-stub,Stub,Uganda,44.1,391862070
294,Template:Uganda-mayor-stub,Stub,Uganda,44.1,444767727
295,Yosia Nadiope of Busoga,Stub,Uganda,44.1,655390291
296,Patrick Mutono,Stub,Uganda,44.1,684295893
297,Stanislaus Okurut,Stub,Uganda,44.1,689614169
298,Charles Oboth Ofumbi,Start,Uganda,44.1,693292931
299,Pumla Kisosonkole,Start,Uganda,44.1,693388584
300,Francis K. Butagira,Start,Uganda,44.1,707473503
301,Otema Allimadi,Stub,Uganda,44.1,708054598
302,Omwony Ojwok,Stub,Uganda,44.1,713020154
303,Jachan Mandir Omach,Stub,Uganda,44.1,715433158
304,Onegi Obel,Start,Uganda,44.1,717146307
305,Saleh Kamba,Stub,Uganda,44.1,720059752
306,John Kabaireho,Stub,Uganda,44.1,723957779
307,Tete Chelangat,Stub,Uganda,44.1,724554948
308,Sarah Kanyike,Start,Uganda,44.1,725742962
309,Gagawala Wambuzi,Stub,Uganda,44.1,726767754
310,Julius Wandera Maganda,Stub,Uganda,44.1,726918511
311,Haruna Kasolo Kyeyune,Stub,Uganda,44.1,726919678
312,Yabezi Kiiza,Stub,Uganda,44.1,736273855
313,Semei Kakungulu,C,Uganda,44.1,737799048
314,Abu Mayanja,C,Uganda,44.1,746946728
315,Daniel Kidega,Start,Uganda,44.1,753278613
316,Eng Abner Nangwale,Stub,Uganda,44.1,756457100
317,Yowabu Magada Kawaluuko,Start,Uganda,44.1,757388522
318,Grace Kwiyucwiny,Start,Uganda,44.1,757563021
319,Mary Goretti Kitutu,Start,Uganda,44.1,757615490
320,Rukiya Chekamondo,Start,Uganda,44.1,757616921
321,Sezi Mbaguta,Start,Uganda,44.1,757617202
322,Frederick Ngobi Gume,Stub,Uganda,44.1,758395750
